season,week,season_type,game_id,player_id,team,opponent_team,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,rushing_10,rushing_12,rushing_20,rushing_40,ingest_run_id
2026,1,REG,2026_01_ATL_PIT,00-0023459,PIT,ATL,3,-3,0,0,0,0,-1.43968164623948,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,00-0025565,ATL,PIT,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,00-0026190,BAL,IND,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_SF_LA,00-0026498,LA,SF,2,-1,0,0,0,0,-3.81403467035852,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,00-0027969,PIT,ATL,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_MIA_LV,00-0029604,LV,MIA,5,-6,0,0,0,0,-3.76460217684507,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,00-0029606,MIN,GB,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NYJ_TEN,00-0029607,NYJ,TEN,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,00-0029692,DAL,NYG,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,00-0029714,MIN,GB,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_CHI_CAR,00-0030092,CAR,CHI,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_WAS_PHI,00-0030140,WAS,PHI,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,00-0030279,IND,BAL,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,00-0030294,LAC,ARI,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_DEN_KC,00-0030506,KC,DEN,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NYJ_TEN,00-0030565,NYJ,TEN,6,7,0,1,0,0,-5.25670542404987,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,00-0031040,LAC,ARI,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,00-0031136,PIT,ATL,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_CHI_CAR,00-0031203,CHI,CAR,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,00-0031279,ATL,PIT,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NE_SEA,00-0031330,NE,SEA,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,00-0031360,MIN,GB,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,00-0031364,HOU,BUF,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_SF_LA,00-0031381,LA,SF,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_SF_LA,00-0031408,SF,LA,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NE_SEA,00-0031411,SEA,NE,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NE_SEA,00-0031492,SEA,NE,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,00-0031565,HOU,BUF,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,00-0031576,ATL,PIT,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_CHI_CAR,00-0031583,CHI,CAR,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_WAS_PHI,00-0031588,WAS,PHI,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_CHI_CAR,00-0031610,CAR,CHI,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_DEN_KC,00-0031898,DEN,KC,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NE_SEA,00-0031933,SEA,NE,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_TB_CIN,00-0031957,TB,CIN,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_MIA_LV,00-0032065,MIA,LV,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,00-0032071,HOU,BUF,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,00-0032104,JAX,CLE,4,32,0,0,0,1,1.0198065017674,0,2,1,0,0,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,00-0032146,LAC,ARI,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,00-0032164,JAX,CLE,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,00-0032265,HOU,BUF,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,00-0032378,IND,BAL,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NE_SEA,00-0032387,SEA,NE,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,00-0032398,BAL,IND,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,00-0032424,NYG,DAL,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_CHI_CAR,00-0032464,CHI,CAR,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_DEN_KC,00-0032569,DEN,KC,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_SF_LA,00-0032701,SF,LA,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,00-0032726,HOU,BUF,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,00-0032753,IND,BAL,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,00-0032759,HOU,BUF,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_DEN_KC,00-0032762,KC,DEN,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,00-0032764,BAL,IND,24,144,3,0,0,7,6.75778948888183,0,4,3,2,0,20260925T013701Z
2026,1,REG,2026_01_SF_LA,00-0032775,SF,LA,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_TB_CIN,00-0032889,TB,CIN,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,00-0032950,MIN,GB,5,-1,0,0,0,1,0.0453942799940705,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,00-0032951,IND,BAL,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,00-0032965,BAL,IND,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,00-0033038,JAX,CLE,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NYJ_TEN,00-0033051,NYJ,TEN,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,00-0033055,PIT,ATL,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,00-0033077,DAL,NYG,2,14,0,0,0,1,0.936536743305624,0,1,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NE_SEA,00-0033090,NE,SEA,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,00-0033093,DAL,NYG,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NO_DET,00-0033106,DET,NO,2,2,0,1,0,0,-1.50222795829177,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,00-0033109,GB,MIN,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_SF_LA,00-0033110,LA,SF,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,00-0033119,ARI,LAC,6,14,0,0,0,3,2.06466043723049,0,1,0,0,0,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,00-0033120,DAL,NYG,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,00-0033131,CLE,JAX,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NE_SEA,00-0033132,NE,SEA,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,00-0033269,IND,BAL,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_SF_LA,00-0033280,SF,LA,10,68,0,0,0,2,2.7396103811916,0,2,2,0,0,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,00-0033281,BAL,IND,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_SF_LA,00-0033288,SF,LA,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,00-0033290,NYG,DAL,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,00-0033293,MIN,GB,12,40,1,0,0,3,-1.04638333478943,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NO_DET,00-0033294,DET,NO,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_DEN_KC,00-0033297,DEN,KC,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_DEN_KC,00-0033303,KC,DEN,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,00-0033307,ARI,LAC,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,00-0033319,JAX,CLE,3,-3,0,0,0,0,0.0,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,00-0033336,MIN,GB,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,00-0033376,NYG,DAL,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_MIA_LV,00-0033381,LV,MIA,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_TB_CIN,00-0033523,CIN,TB,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_TB_CIN,00-0033526,CIN,TB,5,20,0,0,0,1,-0.560715940431692,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,00-0033537,CLE,JAX,6,38,0,0,0,3,4.20838451880263,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,00-0033546,LAC,ARI,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_WAS_PHI,00-0033551,WAS,PHI,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NE_SEA,00-0033555,NE,SEA,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NE_SEA,00-0033576,SEA,NE,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,00-0033662,ATL,PIT,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,00-0033676,ARI,LAC,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,00-0033729,PIT,ATL,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_WAS_PHI,00-0033787,PHI,WAS,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,00-0033858,GB,MIN,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NO_DET,00-0033860,NO,DET,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_DEN_KC,00-0033873,KC,DEN,7,23,1,0,0,2,-1.1145332257729,0,1,1,0,0,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,00-0033877,DAL,NYG,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_DEN_KC,00-0033881,DEN,KC,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,00-0033885,LAC,ARI,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,00-0033886,PIT,ATL,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,00-0033890,ARI,LAC,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NE_SEA,00-0033908,SEA,NE,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_TB_CIN,00-0033914,TB,CIN,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_TB_CIN,00-0033921,TB,CIN,1,3,0,0,0,0,-0.131124019389972,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_CLE_JAX,00-0033928,JAX,CLE,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,00-0033935,BAL,IND,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,00-0033941,PIT,ATL,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ATL_PIT,00-0033945,ATL,PIT,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BAL_IND,00-0033952,IND,BAL,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_TB_CIN,00-0033964,TB,CIN,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,00-0034091,HOU,BUF,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,00-0034158,MIN,GB,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NE_SEA,00-0034160,SEA,NE,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NO_DET,00-0034161,NO,DET,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,00-0034162,LAC,ARI,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NYJ_TEN,00-0034163,TEN,NYJ,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_SF_LA,00-0034173,SF,LA,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_DAL_NYG,00-0034248,NYG,DAL,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_MIA_LV,00-0034275,LV,MIA,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_BUF_HOU,00-0034278,HOU,BUF,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_MIA_LV,00-0034285,MIA,LV,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_WAS_PHI,00-0034302,WAS,PHI,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_CHI_CAR,00-0034320,CHI,CAR,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_WAS_PHI,00-0034333,WAS,PHI,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_DEN_KC,00-0034348,DEN,KC,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NE_SEA,00-0034350,SEA,NE,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_WAS_PHI,00-0034351,PHI,WAS,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,00-0034356,LAC,ARI,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
2026,1,REG,2026_01_NO_DET,00-0034361,NO,DET,0,0,0,0,0,0,,0,0,0,0,0,20260925T013701Z
